Référence Chantier;Code postal arrondissement - Commune;Date début du chantier;Date fin du chantier;Responsable du chantier;Maîtrise d'ouvrage principale;Surface (m2);Synthèse - Nature du chantier;Encombrement espace public;Impact stationnement;Identifiant demande CITE;Identifiant Chantier CITE;geo_shape;geo_point_2d
EC150665;75013;2020-01-27;2024-10-31;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;2.11;Construction ou réhabilitation d'immeuble;EMPRISE_TROTTOIR;;131721;104507;"{""coordinates"": [[[2.3709071842996408, 48.83580604945329], [2.37092281217602, 48.83579137754326], [2.3709112838267634, 48.83578639827752], [2.370894557713063, 48.8358005184946], [2.3709071842996408, 48.83580604945329]]], ""type"": ""Polygon""}";48.83579620207483, 2.37090883416615
EC167599;75001;2020-07-06;2025-03-31;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;217.14;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;DEUX_ROUES,GIG_GIC,TAXI;177247;114992;"{""coordinates"": [[[2.339203554622055, 48.86195137370785], [2.339272064992269, 48.86192711613443], [2.3391200276023856, 48.86162304879429], [2.339035450230149, 48.86163437575303], [2.339203554622055, 48.86195137370785]]], ""type"": ""Polygon""}";48.861781211271726, 2.3391560055602825
EC174292;75001;2020-07-06;2025-03-31;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;19.06;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE;STATIONNEMENT_PAYANT;177247;114992;"{""coordinates"": [[[2.337899318520143, 48.86259832920914], [2.338024506517199, 48.862561071065954], [2.3380139585788515, 48.862546509839945], [2.3378882503987732, 48.8625819061429], [2.337899318520143, 48.86259832920914]]], ""type"": ""Polygon""}";48.862572287888874, 2.3379553833890476
EC187754;75013;2020-09-28;2024-12-31;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;24.38;Construction ou réhabilitation d'immeuble;EMPRISE_TROTTOIR;;266138;128522;"{""coordinates"": [[[2.3854954086941014, 48.82694272637484], [2.3857272850429094, 48.827047925492806], [2.385735539522516, 48.82704979001868], [2.385735330916579, 48.82704414179088], [2.3854198071926493, 48.826896799975444], [2.3854120056109607, 48.826903317204426], [2.3854954086941014, 48.82694272637484]]], ""type"": ""Polygon""}";48.826969739328085, 2.3855658195095364
EC216480;75008;2021-06-14;2025-05-30;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;6595.16;Construction ou réhabilitation d'immeuble;EMPRISE_TROTTOIR;;362862;146262;"{""coordinates"": [[[2.3136848522955384, 48.86708562538812], [2.313721389431711, 48.8670366550386], [2.3137394894217245, 48.86697255268193], [2.3137274500978293, 48.866890973179935], [2.3135232719477252, 48.86510021901488], [2.312947678687976, 48.86509737118838], [2.3129758547761927, 48.86515900696916], [2.313004455897941, 48.86518831451939], [2.313128527584839, 48.86520086656319], [2.3133905717251735, 48.867208707459746], [2.3136848522955384, 48.86708562538812]]], ""type"": ""Polygon""}";48.86608350324193, 2.3134320668848387
EC276109;75009;2022-04-27;2025-12-31;Ville de Paris (Tvx sur espace ou édifice public);DFPE;7.29;;EMPRISE_TROTTOIR;;610951;183306;"{""coordinates"": [[[2.3459868265091166, 48.87713051692203], [2.3459762200792764, 48.8771504952616], [2.3460140616016663, 48.877160719689954], [2.34602537639183, 48.877139380026414], [2.3459868265091166, 48.87713051692203]]], ""type"": ""Polygon""}";48.87714533081693, 2.346000830122144
EC278443;75005;2023-11-13;2025-02-03;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;9.04;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE;STATIONNEMENT_PAYANT;577670;178181;"{""coordinates"": [[[2.35138560680364, 48.840531848445636], [2.3514002860640284, 48.84051644548268], [2.351346722369373, 48.84049657408868], [2.3513340956116346, 48.840513354309536], [2.35138560680364, 48.840531848445636]]], ""type"": ""Polygon""}";48.840514445194536, 2.351366600552101
EC284385;75018;2022-11-21;2024-11-30;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;72.49;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;STATIONNEMENT_PAYANT;646722;188554;"{""coordinates"": [[[2.334376094733322, 48.891676854432546], [2.3343805800037334, 48.891704199936065], [2.3346688245899085, 48.891682123514094], [2.3346513013146906, 48.891648330269156], [2.334376094733322, 48.891676854432546]]], ""type"": ""Polygon""}";48.89167746191113, 2.334524901784665
EC292634;75010;2022-08-01;2024-12-31;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;18.04;Construction ou réhabilitation d'immeuble;EMPRISE_TROTTOIR;;680148;193595;"{""coordinates"": [[[2.3538487882142194, 48.870810900448106], [2.3538391623862145, 48.87078712570798], [2.353755258655498, 48.87080344182098], [2.353769823519043, 48.870828879131786], [2.3538487882142194, 48.870810900448106]]], ""type"": ""Polygon""}";48.870807634951795, 2.3538025365226587
EC296391;75010;2022-10-10;2026-04-30;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;156.74;Construction ou réhabilitation d'immeuble;EMPRISE_PISTE_CYCLABLE,EMPRISE_TROTTOIR;;695954;195855;"{""coordinates"": [[[2.351506146898368, 48.88368890640145], [2.351544243523372, 48.88372904745512], [2.352039898170966, 48.88376392423524], [2.3520458737852303, 48.88372752835082], [2.351506146898368, 48.88368890640145]]], ""type"": ""Polygon""}";48.88372703090374, 2.3517832108832897
EC300719;75002;2022-10-14;2024-12-31;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;8.6;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;STATIONNEMENT_PAYANT;695376;195790;"{""coordinates"": [[[2.3310641716095053, 48.86922381990702], [2.331095184493682, 48.869254502537004], [2.3311204941342782, 48.86924553633291], [2.3310894812404315, 48.8692148537092], [2.3310641716095053, 48.86922381990702]]], ""type"": ""Polygon""}";48.86923467812277, 2.331092332870534
EC302012;75002;2023-01-16;2025-02-28;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;146.55;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;STATIONNEMENT_PAYANT;723735;199665;"{""coordinates"": [[[2.3338763248620995, 48.86999271795288], [2.333901932410975, 48.8699766498218], [2.3339201888154526, 48.869887682377055], [2.3339427055630635, 48.86987578617172], [2.3340211099937007, 48.86954453692733], [2.3339824001232072, 48.86950570647202], [2.3338763248620995, 48.86999271795288]]], ""type"": ""Polygon""}";48.869727794800944, 2.3339542886329734
EC302640;75013;2022-10-24;2024-11-29;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;108.17;Construction ou réhabilitation d'immeuble;EMPRISE_TROTTOIR;;726878;200076;"{""coordinates"": [[[2.3608863388202725, 48.833548589704165], [2.36114397096233, 48.833464355144244], [2.360980561349354, 48.833402461818295], [2.3609281032148837, 48.833517847590194], [2.3608863388202725, 48.833548589704165]]], ""type"": ""Polygon""}";48.83346964513332, 2.3610123286019427
EC302819;75013;2022-10-24;2024-11-29;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;37.44;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE;STATIONNEMENT_PAYANT;726878;200076;"{""coordinates"": [[[2.3607110296122475, 48.83369428952153], [2.360955516025721, 48.83361374357206], [2.3609435709155613, 48.83359764760004], [2.360698409458586, 48.8336811425458], [2.3607110296122475, 48.83369428952153]]], ""type"": ""Polygon""}";48.8336457002721, 2.3608300861168425
EC303433;75011;2022-10-24;2025-04-02;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;106.09;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE;;681595;193865;"{""coordinates"": [[[2.3899332954901262, 48.85479136714072], [2.390095383210059, 48.854295661723526], [2.390078357805175, 48.85426799278853], [2.389909141125871, 48.8547883462858], [2.3899332954901262, 48.85479136714072]]], ""type"": ""Polygon""}";48.854534279338615, 2.390004452746133
EC305535;75001;2023-01-09;2025-03-30;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;11.07;Construction ou réhabilitation d'immeuble;EMPRISE_TROTTOIR;;737967;201873;"{""coordinates"": [[[2.32885686241876, 48.86639435724656], [2.3288741264239126, 48.866410926465385], [2.3289277429212754, 48.86638377278588], [2.328910477544954, 48.86636720356673], [2.32885686241876, 48.86639435724656]]], ""type"": ""Polygon""}";48.86638906497714, 2.328892302473935
EC312298;75008;2023-01-12;2025-05-23;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;41.69;Construction ou réhabilitation d'immeuble;EMPRISE_TROTTOIR;;771115;206375;"{""coordinates"": [[[2.322498936952278, 48.86762991278996], [2.3227044386837985, 48.867909871893595], [2.322719336926772, 48.86790540281617], [2.3225141770440367, 48.86762567320666], [2.322498936952278, 48.86762991278996]]], ""type"": ""Polygon""}";48.86776749404461, 2.3226090586769828
EC388260;75011;2024-03-11;2025-03-11;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;9.82;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE;STATIONNEMENT_PAYANT;861098;252910;"{""coordinates"": [[[2.3876429428357655, 48.85948182466526], [2.387635158705538, 48.85949817810462], [2.387697774675389, 48.859513980737916], [2.387708324049311, 48.85949718637448], [2.3876429428357655, 48.85948182466526]]], ""type"": ""Polygon""}";48.85949782144824, 2.3876713925700828
EC318504;75015;2023-03-01;2024-12-31;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;49.12;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE;STATIONNEMENT_PAYANT;799999;210246;"{""coordinates"": [[[2.3055442465078433, 48.83803938254623], [2.3054436511111445, 48.838216577068174], [2.3054755514158245, 48.83822477748288], [2.305571750773111, 48.83804609953527], [2.3055442465078433, 48.83803938254623]]], ""type"": ""Polygon""}";48.838133996915026, 2.3055075401191423
EC322083;75009;2023-02-25;2024-12-31;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;156.85;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;;810967;212480;"{""coordinates"": [[[2.335100139655563, 48.87515689635415], [2.3345436223009077, 48.875165187743335], [2.334574898433232, 48.87520270120905], [2.335067927284089, 48.875192690936444], [2.335100139655563, 48.87515689635415]]], ""type"": ""Polygon""}";48.875179058114675, 2.334818279280861
EC322697;75009;2023-03-13;2024-10-31;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;14.74;Construction ou réhabilitation d'immeuble;EMPRISE_TROTTOIR;;811407;212826;"{""coordinates"": [[[2.348512017039316, 48.87648082857961], [2.3485599292652157, 48.87656897416522], [2.3485779392055863, 48.876564062873314], [2.3485300212506446, 48.87647637322654], [2.348512017039316, 48.87648082857961]]], ""type"": ""Polygon""}";48.87652265206899, 2.348545019268602
EC324276;75004;2023-07-24;2026-12-24;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;16.21;Construction ou réhabilitation d'immeuble;EMPRISE_TROTTOIR;;812462;213692;"{""coordinates"": [[[2.3538967876446355, 48.86100927189496], [2.353702033149722, 48.86107561376923], [2.353706753327293, 48.861084518517515], [2.3539004761880244, 48.861017943531394], [2.3538967876446355, 48.86100927189496]]], ""type"": ""Polygon""}";48.86104715133669, 2.3538005835136846
EC325686;75020;2023-02-24;2026-12-31;Ville de Paris (Tvx sur espace ou édifice public);Direction de la Voirie et des Déplacements;487.22;Aménagement de voirie (VdP*);EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;STATIONNEMENT_PAYANT;813776;214714;"{""coordinates"": [[[2.4154598035759034, 48.84844194910979], [2.4155896543873507, 48.848429833338145], [2.4154858709920393, 48.84790178244115], [2.4153857114353383, 48.84791199446102], [2.4154246292061647, 48.84813303771229], [2.4154598035759034, 48.84844194910979]]], ""type"": ""Polygon""}";48.848183432132686, 2.4154842717938765
EC325687;75020;2023-02-24;2026-12-31;Ville de Paris (Tvx sur espace ou édifice public);Direction de la Voirie et des Déplacements;92.46;Aménagement de voirie (VdP*);EMPRISE_CHAUSSEE;STATIONNEMENT_PAYANT;813776;214714;"{""coordinates"": [[[2.415567338378191, 48.84789728525033], [2.415545134805714, 48.847908447473166], [2.4156352902934217, 48.84835970172275], [2.4156601526114088, 48.848357660212066], [2.415567338378191, 48.84789728525033]]], ""type"": ""Polygon""}";48.84813202787273, 2.415602273199279
EC330057;75001;2023-04-17;2024-10-31;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;79.49;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE;STATIONNEMENT_PAYANT;817082;217357;"{""coordinates"": [[[2.324488728669828, 48.86687091180927], [2.32461893463221, 48.867049693627706], [2.324645745253854, 48.86700476433022], [2.3245593779554534, 48.86687859613171], [2.3245088257940827, 48.866864649775955], [2.324488728669828, 48.86687091180927]]], ""type"": ""Polygon""}";48.866947805188, 2.3245740607058445
EC330567;75007;2023-11-01;2025-03-31;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;25.36;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE;STATIONNEMENT_PAYANT;817459;217669;"{""coordinates"": [[[2.325141597673786, 48.8598447779492], [2.325157555551871, 48.85986490458365], [2.325282257293329, 48.85982804004509], [2.325268720364881, 48.859807472005144], [2.325141597673786, 48.8598447779492]]], ""type"": ""Polygon""}";48.859836302228835, 2.3252123952375108
EC345414;75014;2023-09-18;2024-10-30;Tiers (travaux sur bâtiment);PERSONNE PHYSIQUE;32.11;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE;;829317;227069;"{""coordinates"": [[[2.3328942688091834, 48.83011633532712], [2.3329356361873823, 48.83011770467089], [2.33294133383977, 48.83002278949633], [2.332899967898901, 48.830021420162], [2.3328942688091834, 48.83011633532712]]], ""type"": ""Polygon""}";48.83006956268842, 2.3329178016659533
EC345685;75012;2024-10-07;2024-12-14;Opérateurs de réseau (gaz-électricité-RATP-etc);GRDF;93.65;Travaux sur réseau de gaz;EMPRISE_TROTTOIR;;829532;227244;"{""coordinates"": [[[2.450825651423387, 48.84434591073395], [2.450853323547748, 48.84433875210425], [2.4507166559290154, 48.84395197320345], [2.450689022389494, 48.84395548870186], [2.450825651423387, 48.84434591073395]]], ""type"": ""Polygon""}";48.844149482281274, 2.4507716520291787
EC355331;75019;2024-01-02;2025-06-27;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;14.07;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE;AUTOLIB,ZONE_LIVRAISON;836686;233154;"{""coordinates"": [[[2.38498460952874, 48.89724569299393], [2.385007517396067, 48.897235793162785], [2.3849563214517797, 48.89718498604564], [2.3849320211974048, 48.8971957897225], [2.38498460952874, 48.89724569299393]]], ""type"": ""Polygon""}";48.89721527749118, 2.3849698320666897
EC361100;75016;2023-12-15;2024-11-29;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;227.04;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;AUTRE,STATIONNEMENT_PAYANT,ZONE_LIVRAISON;841034;236669;"{""coordinates"": [[[2.2764797118308886, 48.86658815515913], [2.276458250379472, 48.86659280636609], [2.276450009536622, 48.866614614362426], [2.276520014689841, 48.86674276780508], [2.2765509386175404, 48.866752517524226], [2.276567651774074, 48.866766734751025], [2.2765927482689476, 48.86677371700884], [2.276620000677325, 48.86677456433247], [2.2766345323965558, 48.86677191993482], [2.276704267632068, 48.86679025824398], [2.276914130227585, 48.86671577044216], [2.2769257168291435, 48.86666690948418], [2.276907303686288, 48.86664738935846], [2.2766281013655, 48.8667478261412], [2.276563756333065, 48.866732825480376], [2.2764797118308886, 48.86658815515913]]], ""type"": ""Polygon""}";48.86671385780448, 2.276699476340637
EC361163;75020;2023-09-18;2024-11-30;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;13.07;Construction ou réhabilitation d'immeuble;EMPRISE_TROTTOIR;;841096;236720;"{""coordinates"": [[[2.378591582157454, 48.871430766331564], [2.3786034506094826, 48.871434128511524], [2.378667274450272, 48.87132061998459], [2.378654367265061, 48.8713177074829], [2.378591582157454, 48.871430766331564]]], ""type"": ""Polygon""}";48.87137528133193, 2.378629468071293
EC361679;75013;2023-10-16;2025-08-15;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;578.19;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;AUTRE;841453;237012;"{""coordinates"": [[[2.352407811391972, 48.81853216311393], [2.3523818857468677, 48.818565265646804], [2.352565901814681, 48.818573548065245], [2.3526208858579403, 48.81853274762485], [2.3529580561100967, 48.81828570561555], [2.352963259439607, 48.81828322989355], [2.352965008959033, 48.81828118966941], [2.3528856135131164, 48.818205280274164], [2.352853203075544, 48.818205332407125], [2.3527244628137836, 48.81829935576748], [2.352407811391972, 48.81853216311393]]], ""type"": ""Polygon""}";48.81840150000908, 2.3526892295569564
EC362128;75007;2024-09-23;2025-02-23;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;28.79;Construction ou réhabilitation d'immeuble;EMPRISE_TROTTOIR;;837291;233639;"{""coordinates"": [[[2.3229112526356013, 48.85818523028266], [2.322894076794172, 48.858192646289616], [2.3230148942018216, 48.858321743915845], [2.323075958956902, 48.85832254443444], [2.323076074311965, 48.85831366577915], [2.3230295069953106, 48.85831249130434], [2.3229112526356013, 48.85818523028266]]], ""type"": ""Polygon""}";48.85826179704112, 2.322974202194495
EC362497;75020;2024-02-12;2024-12-31;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;30.21;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;DEUX_ROUES,STATIONNEMENT_PAYANT;842070;237488;"{""coordinates"": [[[2.3989463828196684, 48.8675739151359], [2.399062862161758, 48.867628535842165], [2.39907519896497, 48.867616151843976], [2.3990657857081774, 48.86759455014792], [2.3989930067115943, 48.86756109537142], [2.3989587178944682, 48.867561682229116], [2.3989463828196684, 48.8675739151359]]], ""type"": ""Polygon""}";48.86759030139049, 2.3990161116088924
EC362738;75008;2023-10-09;2024-11-01;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;18.01;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE;STATIONNEMENT_PAYANT;842178;237671;"{""coordinates"": [[[2.3193309896533463, 48.87939089085323], [2.319331584371656, 48.87937470349239], [2.3191958794948424, 48.87936912579077], [2.319194518498015, 48.87938530789425], [2.3193309896533463, 48.87939089085323]]], ""type"": ""Polygon""}";48.879380013836474, 2.319263224258631
EC368910;75001;2024-01-22;2025-04-30;Ville de Paris (Tvx sur espace ou édifice public);Ville de Paris (autres);73.27;Travaux sur édifice public (VdP*);EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;DEUX_ROUES,STATIONNEMENT_PAYANT,ZONE_LIVRAISON;847595;241813;"{""coordinates"": [[[2.333223810894465, 48.86655525372818], [2.333309975964194, 48.86640227580261], [2.3332810816626086, 48.86639482925347], [2.3332541471809836, 48.86639604531421], [2.333175065363963, 48.86653494654803], [2.3331935312414647, 48.86654825450997], [2.333223810894465, 48.86655525372818]]], ""type"": ""Polygon""}";48.866472559125505, 2.333240931666752
EC369388;75004;2024-03-15;2025-09-18;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;25.03;Construction ou réhabilitation d'immeuble;EMPRISE_TROTTOIR;;848047;242177;"{""coordinates"": [[[2.3507149338688946, 48.86162887084428], [2.3507559207168094, 48.86161840716565], [2.3507188312287983, 48.86155239081313], [2.350678600260318, 48.86156115791495], [2.3507149338688946, 48.86162887084428]]], ""type"": ""Polygon""}";48.861590427670876, 2.3507171160426927
EC371575;75020;2024-01-15;2024-12-09;Opérateurs de réseau (gaz-électricité-RATP-etc);GRDF;1.8;Travaux sur réseau de gaz;EMPRISE_TROTTOIR;;849760;243581;"{""coordinates"": [[[2.3905170160055134, 48.86894662294354], [2.390531691218111, 48.86895094794015], [2.390538295556082, 48.86893701755306], [2.390523607505492, 48.8689339065977], [2.3905170160055134, 48.86894662294354]]], ""type"": ""Polygon""}";48.86894218844871, 2.390527732318396
EC372019;75001;2024-05-13;2024-10-31;Opérateurs de réseau (gaz-électricité-RATP-etc);GROUPE JCDECAUX;12.81;Travaux sur mobiliers urbains;EMPRISE_TROTTOIR;;850146;243893;"{""coordinates"": [[[2.34245434257683, 48.86355764570639], [2.3425049067908437, 48.86354699465114], [2.3424916430328566, 48.86351874975348], [2.342440333618862, 48.86353012517951], [2.34245434257683, 48.86355764570639]]], ""type"": ""Polygon""}";48.86353831669861, 2.342472861868685
EC373986;75001;2024-03-21;2025-06-30;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;18.98;Construction ou réhabilitation d'immeuble;EMPRISE_TROTTOIR;;850881;244503;"{""coordinates"": [[[2.3316311758227783, 48.86599404475259], [2.331499286406789, 48.866030829745554], [2.3315065915264532, 48.86604252786438], [2.331568371169662, 48.8660259337448], [2.331646900535912, 48.866016536160615], [2.3316311758227783, 48.86599404475259]]], ""type"": ""Polygon""}";48.866017907263846, 2.331578984739064
EC374196;75019;2024-09-02;2025-01-31;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;58.96;Construction ou réhabilitation d'immeuble;EMPRISE_TROTTOIR;;851810;245245;"{""coordinates"": [[[2.389903949515733, 48.879034914915366], [2.3898731152916186, 48.87895598100331], [2.389853769945682, 48.87895724849064], [2.389872192463514, 48.87903475307116], [2.3899751851074074, 48.879083089876715], [2.390134263476074, 48.87894046360884], [2.390117099803436, 48.878932179681456], [2.389962972116346, 48.87906481352398], [2.389903949515733, 48.879034914915366]]], ""type"": ""Polygon""}";48.8790123560432, 2.3899797150110826
EC374404;75020;2024-01-22;2025-12-19;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;0.78;Construction ou réhabilitation d'immeuble;EMPRISE_TROTTOIR;;845813;240357;"{""coordinates"": [[[2.4117254318976706, 48.86071871807754], [2.411721469859845, 48.86072581419927], [2.4117343840589722, 48.86072815391742], [2.4117379043920115, 48.860721909999455], [2.4117254318976706, 48.86071871807754]]], ""type"": ""Polygon""}";48.86072361842755, 2.4117296643154704
EC374968;75017;2024-06-10;2024-11-25;Opérateurs de réseau (gaz-électricité-RATP-etc);ENEDIS;6.22;Travaux sur réseau électrique;EMPRISE_TROTTOIR;;852356;245698;"{""coordinates"": [[[2.3041782420174286, 48.88401138810625], [2.304149838741765, 48.884018508531824], [2.3041605745633222, 48.884041794416376], [2.304190353046916, 48.8840351370433], [2.3041782420174286, 48.88401138810625]]], ""type"": ""Polygon""}";48.884026759255434, 2.304169858765649
EC375297;75013;2024-03-19;2024-12-06;Opérateurs de réseau (gaz-électricité-RATP-etc);GRDF;1.39;Travaux sur réseau de gaz;EMPRISE_TROTTOIR;;852639;245943;"{""coordinates"": [[[2.3485159697048315, 48.830728639956625], [2.34853187043706, 48.83072576673572], [2.3485285466285553, 48.8307157305217], [2.348512298428732, 48.830718829390705], [2.3485159697048315, 48.830728639956625]]], ""type"": ""Polygon""}";48.83072221724265, 2.348522184443661
EC376464;75014;2024-03-28;2024-11-08;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;9.94;Construction ou réhabilitation d'immeuble;EMPRISE_TROTTOIR;;853562;246727;"{""coordinates"": [[[2.318921609111815, 48.83586095554968], [2.3189139094520304, 48.835869564556226], [2.3190091199850986, 48.83592110819445], [2.3190188724650156, 48.835913877913455], [2.318921609111815, 48.83586095554968]]], ""type"": ""Polygon""}";48.83589127023732, 2.3189657270026713
EC376468;75014;2024-03-28;2024-11-08;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;10.45;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE;STATIONNEMENT_PAYANT;853562;246727;"{""coordinates"": [[[2.318883006468185, 48.8358589145105], [2.318830263697323, 48.83583038110233], [2.318812817492302, 48.83584576442148], [2.3188676355380715, 48.835873854572895], [2.318883006468185, 48.8358589145105]]], ""type"": ""Polygon""}";48.83585210028958, 2.318848115759494
EC376923;75020;2024-01-15;2024-12-13;Opérateurs de réseau (gaz-électricité-RATP-etc);ENEDIS;40.32;Travaux sur réseau électrique;EMPRISE_TROTTOIR;;853875;246986;"{""coordinates"": [[[2.40154411230543, 48.86831649463382], [2.4015460364649623, 48.8683292541584], [2.4015520914197483, 48.86834294536529], [2.4015712135697207, 48.86830069208363], [2.40171011198468, 48.868106492880706], [2.401732380723454, 48.86809066703485], [2.401757343216141, 48.868080773188275], [2.4017477896870587, 48.86807116278214], [2.4017221269925364, 48.86808196325622], [2.4016963596872243, 48.868101870791605], [2.401554000629404, 48.86829696370517], [2.40154411230543, 48.86831649463382]]], ""type"": ""Polygon""}";48.868201749091476, 2.4016351890971435
EC377543;75018;2024-02-01;2024-11-08;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;11.51;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE;STATIONNEMENT_PAYANT;854218;247284;"{""coordinates"": [[[2.346589466742471, 48.886475109578086], [2.34656493281152, 48.88647679682693], [2.3465763102190516, 48.886533095655146], [2.3466011863176433, 48.886531637800985], [2.346589466742471, 48.886475109578086]]], ""type"": ""Polygon""}";48.88650421484199, 2.3465829944229095
EC378218;75020;2023-10-20;2024-12-20;Opérateurs de réseau (gaz-électricité-RATP-etc);ENEDIS;8.15;Travaux sur réseau électrique;EMPRISE_TROTTOIR;;854653;247640;"{""coordinates"": [[[2.405081246895291, 48.856093880187714], [2.405101607371183, 48.85609352634264], [2.405112100135276, 48.85611133790909], [2.405127201527565, 48.856118471057634], [2.4051512665414125, 48.8561261038332], [2.4051677913088585, 48.85612937416293], [2.4051847258610444, 48.85612695366212], [2.4051575393580533, 48.8561206705847], [2.4051341717325325, 48.85611235867304], [2.405121826246986, 48.85610569429545], [2.405109997122005, 48.85608400529731], [2.405079298920927, 48.856083170074214], [2.405079215739192, 48.85609045526945], [2.405081246895291, 48.856093880187714]]], ""type"": ""Polygon""}";48.85610540709576, 2.4051216173070142
EC381453;75008;2024-03-14;2025-10-31;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;138.09;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;DEUX_ROUES,STATIONNEMENT_PAYANT;857145;249661;"{""coordinates"": [[[2.3228688168789935, 48.87453962410544], [2.3228446163226666, 48.87454267446705], [2.3228277948895055, 48.87456215972618], [2.3229375594441977, 48.87488062239197], [2.3229629577093904, 48.8748916948123], [2.322989950091527, 48.87488638308982], [2.3228688168789935, 48.87453962410544]]], ""type"": ""Polygon""}";48.87471804871561, 2.322906652890272
EC381748;75020;2024-03-18;2024-11-30;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;19.52;Construction ou réhabilitation d'immeuble;EMPRISE_TROTTOIR;;857319;249798;"{""coordinates"": [[[2.408179422108983, 48.864609386525586], [2.408326485735956, 48.86460464927151], [2.4084313668256927, 48.86466800728717], [2.408428289863124, 48.86469576908063], [2.408442098727889, 48.86469538226947], [2.408443815593926, 48.86466579169104], [2.4083313901756895, 48.86459829809879], [2.4081774292186338, 48.864602546186006], [2.408179422108983, 48.864609386525586]]], ""type"": ""Polygon""}";48.86462910960931, 2.4083377937388804
