Référence Chantier;Code postal arrondissement - Commune;Date début du chantier;Date fin du chantier;Responsable du chantier;Maîtrise d'ouvrage principale;Surface (m2);Synthèse - Nature du chantier;Encombrement espace public;Impact stationnement;Identifiant demande CITE;Identifiant Chantier CITE;geo_shape;geo_point_2d
EC157567;75013;2020-03-09;2027-12-31;Ville de Paris (Tvx sur espace ou édifice public);Section de l'Assainissement de Paris;346.15;Travaux sur réseau d'assainissement (VdP*);EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;STATIONNEMENT_PAYANT;137090;108810;"{""coordinates"": [[[2.347665232474437, 48.817177348275415], [2.3479615998336527, 48.81702367910281], [2.347877973880795, 48.81698360429352], [2.347827086499423, 48.81697239833231], [2.3477671261892294, 48.816969794026406], [2.347713247661376, 48.816977242001066], [2.347679996602349, 48.8169893551696], [2.347650825702766, 48.8170060459672], [2.3476278320620927, 48.817025045901694], [2.3476116833008884, 48.8170481825688], [2.3476010213607217, 48.817073625510865], [2.3476007478996173, 48.81709548263245], [2.3476053633536544, 48.81711235686392], [2.3476140931855705, 48.817131075694626], [2.347632448402614, 48.81715212338087], [2.347641942753209, 48.81716492573977], [2.347665232474437, 48.817177348275415]]], ""type"": ""Polygon""}";48.81705707868629, 2.3477488342937747
EC167561;75001;2020-05-12;2025-03-31;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;407.11;Construction ou réhabilitation d'immeuble;EMPRISE_TROTTOIR;;168140;114418;"{""coordinates"": [[[2.336711276953042, 48.86241370215593], [2.33681848467889, 48.86253911678358], [2.3371241045933773, 48.86245027443303], [2.3370332426856133, 48.862316376240855], [2.336711276953042, 48.86241370215593]]], ""type"": ""Polygon""}";48.86242904935326, 2.336921885436852
EC195439;75020;2020-11-23;2024-12-31;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;146.99;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE;;296571;133310;"{""coordinates"": [[[2.3862844602736066, 48.865455037132214], [2.386296724729147, 48.86543292587259], [2.385631196293074, 48.865274292308854], [2.3856152943662265, 48.86529955231133], [2.3862844602736066, 48.865455037132214]]], ""type"": ""Polygon""}";48.865363515155714, 2.3859486674451076
EC216649;75008;2021-06-14;2025-05-30;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;38.51;Construction ou réhabilitation d'immeuble;EMPRISE_TROTTOIR;;362862;146262;"{""coordinates"": [[[2.3104140746546467, 48.866807267404624], [2.3104338479658657, 48.8668255958023], [2.310776387870283, 48.86691590988138], [2.310784129609647, 48.8669045696315], [2.3104140746546467, 48.866807267404624]]], ""type"": ""Polygon""}";48.866863390950655, 2.310602645196891
EC295102;75005;2022-09-22;2024-10-31;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;32.19;Construction ou réhabilitation d'immeuble;EMPRISE_TROTTOIR;;690728;195205;"{""coordinates"": [[[2.3536104246795877, 48.8436458444427], [2.3536118489224904, 48.84366998740326], [2.3537754253437675, 48.84366472309148], [2.3537726208007124, 48.84364057357638], [2.3536104246795877, 48.8436458444427]]], ""type"": ""Polygon""}";48.84365529819651, 2.353692610121425
EC300699;75008;2021-05-10;2046-05-09;Ville de Paris (Tvx sur espace ou édifice public);Ville de Paris (autres);362.82;Travaux sur édifice public (VdP*);EMPRISE_TROTTOIR;;719023;198816;"{""coordinates"": [[[2.3104682266314236, 48.865505918772506], [2.311145777086094, 48.865523936606046], [2.311273718284607, 48.86542654147554], [2.3111369345282826, 48.865435772098245], [2.311121522540141, 48.86545298774375], [2.3110841211438555, 48.865462790297116], [2.3110274437211364, 48.865468839515685], [2.3109815569826324, 48.86546789184837], [2.310981701521797, 48.86545696380417], [2.310972874367734, 48.865445984109115], [2.3109557050021072, 48.86543951068349], [2.3109378024229486, 48.86543621942382], [2.3109205547699254, 48.86543566505073], [2.310903295078906, 48.865436020746], [2.3108907877784506, 48.86544232420995], [2.3108817076659585, 48.86545046858556], [2.3108746244029, 48.86546408889643], [2.3104716391121527, 48.865456758487475], [2.3104682266314236, 48.865505918772506]]], ""type"": ""Polygon""}";48.86548273619342, 2.310875928178363
EC300704;75008;2021-05-10;2046-05-09;Ville de Paris (Tvx sur espace ou édifice public);Ville de Paris (autres);204.94;Travaux sur édifice public (VdP*);EMPRISE_CHAUSSEE;;719023;198816;"{""coordinates"": [[[2.3129400758008423, 48.86501968772167], [2.3129403820708294, 48.86499646561319], [2.311864998554272, 48.86497366644495], [2.311863654242307, 48.86499711012056], [2.3129400758008423, 48.86501968772167]]], ""type"": ""Polygon""}";48.86499671462254, 2.3124013427946406
EC319627;75010;2023-05-02;2025-04-30;Ville de Paris (Tvx sur espace ou édifice public);Ville de Paris (autres);162.73;Travaux sur édifice public (VdP*);EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;DEUX_ROUES;804150;210818;"{""coordinates"": [[[2.358255911816523, 48.87179218367359], [2.3575562126933938, 48.872107182742184], [2.357569883501973, 48.87211818487094], [2.3578905845067544, 48.871975358641514], [2.35790532453662, 48.87198909865802], [2.358252650106865, 48.871832845054136], [2.358255911816523, 48.87179218367359]]], ""type"": ""Polygon""}";48.87193591846434, 2.357972879134916
EC323238;75006;2023-02-27;2024-12-31;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;19.22;Construction ou réhabilitation d'immeuble;EMPRISE_TROTTOIR;;811813;213142;"{""coordinates"": [[[2.3358672783140917, 48.8575750135602], [2.3356308208885794, 48.857609675070336], [2.3356344974478356, 48.85761902985585], [2.3358716458847693, 48.857584372173626], [2.3358672783140917, 48.8575750135602]]], ""type"": ""Polygon""}";48.85759699431626, 2.335751269827885
EC323252;75002;2023-03-01;2024-11-30;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;18.72;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE;STATIONNEMENT_PAYANT;810154;211879;"{""coordinates"": [[[2.3318442219471085, 48.86939419469571], [2.331728315070922, 48.86944363740704], [2.331742638927446, 48.86945692242821], [2.3318578398965184, 48.86940884186458], [2.3318442219471085, 48.86939419469571]]], ""type"": ""Polygon""}";48.8694256667109, 2.331793755295365
EC330243;75008;2023-04-03;2025-05-31;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;57.87;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE;STATIONNEMENT_PAYANT;814258;215064;"{""coordinates"": [[[2.3174575426449575, 48.87001833903966], [2.317334685817723, 48.86985939977535], [2.3173084569729485, 48.869885661205245], [2.317409872287972, 48.870021482002194], [2.3174575426449575, 48.87001833903966]]], ""type"": ""Polygon""}";48.869947001237186, 2.3173788947081118
EC338592;75012;2024-02-12;2024-12-27;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;23.74;Construction ou réhabilitation d'immeuble;EMPRISE_TROTTOIR;;824044;222829;"{""coordinates"": [[[2.383964369423019, 48.835495161673876], [2.3839465478616053, 48.83548550693464], [2.3838296310852605, 48.83557256403812], [2.38385053712442, 48.83558382835815], [2.383964369423019, 48.835495161673876]]], ""type"": ""Polygon""}";48.83553541480315, 2.3838962608183762
EC342974;75014;2023-03-13;2027-03-12;Ville de Paris (Tvx sur espace ou édifice public);Direction de la Voirie et des Déplacements;384.21;Aménagement de voirie (VdP*);EMPRISE_TROTTOIR;;827264;225430;"{""coordinates"": [[[2.3218875393386678, 48.822043603727266], [2.321960979031761, 48.82201760802253], [2.321643355829615, 48.82167654619396], [2.3216025566696183, 48.82163214337673], [2.32157981218385, 48.82163110326442], [2.3215222930351276, 48.82165263550322], [2.3217058388208964, 48.82189639574257], [2.3218875393386678, 48.822043603727266]]], ""type"": ""Polygon""}";48.821840121858784, 2.3217348396070254
EC344247;75009;2023-07-17;2024-10-31;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;60.77;Construction ou réhabilitation d'immeuble;EMPRISE_TROTTOIR;;828326;226302;"{""coordinates"": [[[2.332837811910546, 48.876780872639145], [2.332510473457261, 48.87668160026207], [2.3324955773795253, 48.876658749593766], [2.3324650760245964, 48.87666859722568], [2.332491636511631, 48.87669697820863], [2.332829323966818, 48.8767967624781], [2.332837811910546, 48.876780872639145]]], ""type"": ""Polygon""}";48.87673061149352, 2.332642792795201
EC346154;75016;2022-11-23;2024-10-30;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;88.55;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE;STATIONNEMENT_PAYANT;829925;227569;"{""coordinates"": [[[2.2805195397064035, 48.87295312447294], [2.280691280791708, 48.87306378497217], [2.2807076234638077, 48.87305500394612], [2.280730509980508, 48.87302235495475], [2.280584780818163, 48.87292767392069], [2.280537593905312, 48.87294549142806], [2.2805195397064035, 48.87295312447294]]], ""type"": ""Polygon""}";48.872992825644005, 2.280631730645851
EC346156;75016;2022-11-23;2024-10-30;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;260.76;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE;;829925;227569;"{""coordinates"": [[[2.2842690177376883, 48.87297491911631], [2.284139216568144, 48.873014215015125], [2.28394632559905, 48.87304812403564], [2.283979539545971, 48.873093386172684], [2.2842707840582652, 48.87312855120578], [2.284304189857518, 48.87297740655765], [2.2842690177376883, 48.87297491911631]]], ""type"": ""Polygon""}";48.87305785545666, 2.284156164293432
EC346160;75018;2023-08-07;2025-03-30;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;20.0;Construction ou réhabilitation d'immeuble;EMPRISE_TROTTOIR;;829874;227538;"{""coordinates"": [[[2.353159706948467, 48.88418892989192], [2.353296295009959, 48.88419877434232], [2.3532978968290026, 48.88418102395236], [2.353162001601765, 48.8841709557163], [2.353159706948467, 48.88418892989192]]], ""type"": ""Polygon""}";48.88418491557518, 2.3532288012637737
